Ministerstwo,Nazwa biura/departamentu,Link to biura,Znalezione maile
"Ministerstwo Rodziny, Pracy i Polityki Społecznej",Departament Prawny,https://www.gov.pl/web/rodzina/departament-prawny,{'sekretariat.DP@mrpips.gov.pl'}
Ministerstwo Infrastruktury,Biuro Dyrektora Generalnego (BDG),https://www.gov.pl/web/infrastruktura/biuro-dyrektora-generalnego-bdg,{'sekretariatBDG@mi.gov.pl'}
Ministerstwo Rolnictwa i Rozwoju Wsi,Biuro Dyrektora Generalnego,https://www.gov.pl/web/rolnictwo/biuro-dyrektora-generalnego2,"{'sekretariatbdg@minrol.gov.pl', 'sekretariat.bdg@minrol.gov.pl'}"
Ministerstwo Rolnictwa i Rozwoju Wsi,Biuro Kontroli,https://www.gov.pl/web/rolnictwo/biuro-kontroli2,{'sekretariat.k@minrol.gov.pl'}
Ministerstwo Rolnictwa i Rozwoju Wsi,Biuro Ministra,https://www.gov.pl/web/rolnictwo/biuro-ministra2,"{'sekretariatbm@minrol.gov.pl', 'sekretariat.bm@minrol.gov.pl'}"
Ministerstwo Rolnictwa i Rozwoju Wsi,Biuro Administracyjne,https://www.gov.pl/web/rolnictwo/biuro-administracyjne,{'sekretariat.ba@minrol.gov.pl'}
Ministerstwo Rolnictwa i Rozwoju Wsi,Departament Wspólnej Polityki Rolnej,https://www.gov.pl/web/rolnictwo/departament-wspolnej-polityki-rolnej,"{'Sekretariat.wpr@minrol.gov.pl', 'sekretariat.wpr@minrol.gov.pl'}"
Ministerstwo Rolnictwa i Rozwoju Wsi,Departament Wsparcia Rolników,https://www.gov.pl/web/rolnictwo/departament-wsparcia-rolnikow,"{'Sekretariat.WR@minrol.gov.pl', 'sekretariat.wr@minrol.gov.pl'}"
Ministerstwo Infrastruktury,Biuro Pełnomocnika Rządu do spraw Centralnego Portu Komunikacyjnego dla Rzeczypospolitej Polskiej (BPCPK),https://www.gov.pl/web/infrastruktura/biuro-pelnomocnika-rzadu-do-spraw-centralnego-portu-komunikacyjnego-dla-rzeczypospolitej-polskiej,{'sekretariatBPCPK@mi.gov.pl'}
Ministerstwo Aktywów Państwowych,Biuro Dyrektora Generalnego,https://www.gov.pl/web/aktywa-panstwowe/biura-i-departamenty-biuro-dyrektora-generalnego,"{'SekretariatBDG@me.gov.pl', 'SekretariatBDG@map.gov.pl'}"
Ministerstwo Aktywów Państwowych,Biuro do spraw Reformy Nadzoru Właścicielskiego,https://www.gov.pl/web/aktywa-panstwowe/biuro-do-spraw-reformy-nadzoru-wlascicielskiego,{'sekretariatBRN@map.gov.pl'}
Ministerstwo Aktywów Państwowych,Biuro Ministra,https://www.gov.pl/web/aktywa-panstwowe/biura-i-departamenty-biuro-ministra,"{'sekretariatBM@map.gov.pl', 'sekretariatBM@me.gov.pl'}"
Ministerstwo Aktywów Państwowych,Biuro Administracyjne,https://www.gov.pl/web/aktywa-panstwowe/biura-i-departamenty-biuro-administracyjne,"{'sekretariatBA@map.gov.pl', 'sekretariatBA@me.gov.pl'}"
Ministerstwo Infrastruktury,Departament Strategii Transportu (DST),https://www.gov.pl/web/infrastruktura/departament-strategii-transportu-dst,{'sekretariatDST@mi.gov.pl'}
Ministerstwo Infrastruktury,Departament Współpracy Międzynarodowej (DWM),https://www.gov.pl/web/infrastruktura/departament-wspolpracy-miedzynarodowej-dwm,{'sekretariatDWM@mi.gov.pl'}
Ministerstwo Infrastruktury,Sekretariat Krajowej Rady Bezpieczeństwa Ruchu Drogowego (SKR),https://www.gov.pl/web/infrastruktura/sekretariat-krajowej-rady-bezpieczenstwa-ruchu-drogowego-skr,{'sekretariatSKR@mi.gov.pl'}
Ministerstwo Infrastruktury,Biuro Ministra (BM),https://www.gov.pl/web/infrastruktura/biuro-ministra-bm,{'sekretariatBM@mi.gov.pl'}
Ministerstwo Rolnictwa i Rozwoju Wsi,"Departament Strategii, Transferu Wiedzy i Innowacji",https://www.gov.pl/web/rolnictwo/departament-strategii-transferu-wiedzy-i-innowacji,{'sekretariat.swi@minrol.gov.pl'}
Ministerstwo Rolnictwa i Rozwoju Wsi,Departament Spraw Ziemskich,https://www.gov.pl/web/rolnictwo/departament-spraw-ziemskich,"{'sekretariat.sz@minrol.gov.pl', 'sekretariatgz@minrol.gov.pl'}"
Ministerstwo Rolnictwa i Rozwoju Wsi,Departament Prawny,https://www.gov.pl/web/rolnictwo/departament-prawny,{'sekretariat.dp@minrol.gov.pl'}
Ministerstwo Rolnictwa i Rozwoju Wsi,Departament Przetwórstwa i Rynków Rolnych,https://www.gov.pl/web/rolnictwo/departament-przetworstwa-i-rynkow-rolnych,"{'sekretariatbdg@minrol.gov.pl', 'sekretariat.prr@minrol.gov.pl'}"
Ministerstwo Aktywów Państwowych,Departament Funduszy Europejskich i Instrumentów Rozwojowych,https://www.gov.pl/web/aktywa-panstwowe/biura-i-departamenty-departament-funduszy-europejskich-i-instrumentow-rozwojowych,"{'sekretariatDFE@me.gov.pl', 'sekretariatDFE@map.gov.pl'}"
"Ministerstwo Rodziny, Pracy i Polityki Społecznej",Departament Polityki Rodzinnej,https://www.gov.pl/web/rodzina/1departament-polityki-rodzinnej,{'sekretariat.dsr@mrpips.gov.pl'}
"Ministerstwo Rodziny, Pracy i Polityki Społecznej",Biuro Promocji,https://www.gov.pl/web/rodzina/biuro-promocji,{'sekretariat.BP@mrpips.gov.pl'}
"Ministerstwo Rodziny, Pracy i Polityki Społecznej",Departament Polityki Senioralnej,https://www.gov.pl/web/rodzina/departament-polityki-senioralnej,{'sekretariat.DAS@mrpips.gov.pl'}
"Ministerstwo Rodziny, Pracy i Polityki Społecznej",Departament Informatyki,https://www.gov.pl/web/rodzina/departament-informatyki,{'sekretariat.DI@mrpips.gov.pl'}
"Ministerstwo Rodziny, Pracy i Polityki Społecznej",Biuro Administracyjne,https://www.gov.pl/web/rodzina/biuro-administracyjne,{'sekretariat.BA@mrpips.gov.pl'}
Ministerstwo Aktywów Państwowych,Departament Budżetu i Finansów,https://www.gov.pl/web/aktywa-panstwowe/biura-i-departamenty-departament-budzetu-i-finansow,"{'sekretariatDBF@map.gov.pl', 'sekretariatDBF@me.gov.pl'}"
Ministerstwo Aktywów Państwowych,Departament Bezpieczeństwa i Zarządzania Kryzysowego,https://www.gov.pl/web/aktywa-panstwowe/biura-i-departamenty-departament-bezpieczenstwa-i-zarzadzania-kryzysowego,"{'sekretariatdzk@map.gov.pl', 'sekretariatdzk@me.gov.pl'}"
Ministerstwo Aktywów Państwowych,Departament Analiz i Sprawozdawczości,https://www.gov.pl/web/aktywa-panstwowe/departament-analiz-i-sprawozdawczosci,{'SekretariatDAS@map.gov.pl'}
 Ministerstwo Cyfryzacji ,Departament Społeczeństwa Informacyjnego,https://www.gov.pl/web/cyfryzacja/departament-spoleczenstwa-informacyjnego,{'Sekretariat.DSI@mc.gov.pl'}
 Ministerstwo Cyfryzacji ,Departament Zarządzania Systemami,https://www.gov.pl/web/cyfryzacja/departament-zarzadzania-systemami,{'Sekretariat.DZS@mc.gov.pl'}
 Ministerstwo Cyfryzacji ,Departament Zarządzania Danymi,https://www.gov.pl/web/cyfryzacja/departament-zarzadzania-danymi,{'Sekretariat.DZD@mc.gov.pl'}
 Ministerstwo Cyfryzacji ,Departament Polityki Międzynarodowej,https://www.gov.pl/web/cyfryzacja/departament-polityki-miedzynarodowej,{'Sekretariat.DPM@mc.gov.pl'}
 Ministerstwo Cyfryzacji ,Departament Telekomunikacji,https://www.gov.pl/web/cyfryzacja/departament-telekomunikacji,{'sekretariat.dt@mc.gov.pl'}
 Ministerstwo Cyfryzacji ,Departament Rozwiązań Innowacyjnych,https://www.gov.pl/web/cyfryzacja/departamentu-rozwiazan-innowacyjnych,{'sekretariat.DRI@mc.gov.pl'}
 Ministerstwo Cyfryzacji ,Departament Rozwoju Usług,https://www.gov.pl/web/cyfryzacja/departament-rozwoju-uslug-cyfrowych,{'sekretariat.dru@mc.gov.pl'}
 Ministerstwo Cyfryzacji ,Departament Prawny,https://www.gov.pl/web/cyfryzacja/departament-prawny,{'sekretariat.dp@mc.gov.pl'}
 Ministerstwo Cyfryzacji ,Departament Cyberbezpieczeństwa,https://www.gov.pl/web/cyfryzacja/departament-cyberbezpieczenstwa,{'sekretariat.dc@mc.gov.pl'}
Ministerstwo Funduszy i Polityki Regionalnej,Biuro Zarządzania Zasobami Ludzkimi,https://www.gov.pl/web/fundusze-regiony/biuro-zarzadzania-zasobami-ludzkimi1,{'sekretariatBZL@mfipr.gov.pl'}
 Ministerstwo Cyfryzacji ,Departament Budżetu i Finansów,https://www.gov.pl/web/cyfryzacja/departament-budzetu-i-finansow,{'sekretariat.dbif@mc.gov.pl'}
 Ministerstwo Cyfryzacji ,Biuro Ministra,https://www.gov.pl/web/cyfryzacja/biuro-ministra,{'sekretariat.bm@mc.gov.pl'}
 Ministerstwo Cyfryzacji ,Biuro Dyrektora Generalnego,https://www.gov.pl/web/cyfryzacja/biuro-dyrektora-generalnego,{'sekretariat.bdg@mc.gov.pl'}
Ministerstwo Funduszy i Polityki Regionalnej,Departament Certyfikacji i Desygnacji,https://www.gov.pl/web/fundusze-regiony/departament-certyfikacji-i-desygnacji1,{'sekretariatDCD@mfipr.gov.pl'}
Ministerstwo Funduszy i Polityki Regionalnej,Biuro Polityki Bezpieczeństwa,https://www.gov.pl/web/fundusze-regiony/biuro-polityki-bezpieczenstwa,"{'ekretariatBPB@mfipr.gov.pl', 'sekretariatBPB@mfipr.gov.pl', 'sekretariatDZK@mr.gov.pl'}"
Ministerstwo Funduszy i Polityki Regionalnej,Biuro Obsługi Pełnomocnika Rządu do spraw Strategicznej Infrastruktury Energetycznej,https://www.gov.pl/web/fundusze-regiony/biuro-obslugi-pelnomocnika-rzadu-do-spraw-strategicznej-infrastruktury-energetycznej1,{'sekretariatBP@mfipr.gov.pl'}
Ministerstwo Gospodarki Morskiej i Żeglugi Śródlądowej,Biuro Administracyjne ,https://www.gov.pl/web/gospodarkamorska/ba,set()
Ministerstwo Gospodarki Morskiej i Żeglugi Śródlądowej,Departament Współpracy Międzynarodowej,https://www.gov.pl/web/gospodarkamorska/dwm,{'SekretariatDWM@mgm.gov.pl'}
Ministerstwo Gospodarki Morskiej i Żeglugi Śródlądowej,Departament Rybołówstwa,https://www.gov.pl/web/gospodarkamorska/dr,{'SekretariatDR@mgm.gov.pl'}
Ministerstwo Gospodarki Morskiej i Żeglugi Śródlądowej,Departament Prawny,https://www.gov.pl/web/gospodarkamorska/dp,{'SekretariatDP@mgm.gov.pl'}
Ministerstwo Funduszy i Polityki Regionalnej,Biuro Rzecznika Funduszy Europejskich,https://www.gov.pl/web/fundusze-regiony/biuro-rzecznika-funduszy-europejskich,{'rzecznikfe@mfipr.gov.pl'}
Ministerstwo Gospodarki Morskiej i Żeglugi Śródlądowej,Departament Orzecznictwa i Kontroli Gospodarowania Wodami ,https://www.gov.pl/web/gospodarkamorska/dok,"{'sekretariatDOK@mgm.gov.pl', 'SekretariatDOK@mgm.gov.pl'}"
Ministerstwo Gospodarki Morskiej i Żeglugi Śródlądowej,Departament Gospodarki Wodnej i Żeglugi Śródlądowej ,https://www.gov.pl/web/gospodarkamorska/departament-gospodarki-wodnej-i-zeglugi-srodladowej,{'SekretariatDGWiZS@mgm.gov.pl'}
Ministerstwo Gospodarki Morskiej i Żeglugi Śródlądowej,Departament Gospodarki Morskiej ,https://www.gov.pl/web/gospodarkamorska/dgm,{'SekretariatDGM@mgm.gov.pl'}
Ministerstwo Gospodarki Morskiej i Żeglugi Śródlądowej,Departament Edukacji Morskiej,https://www.gov.pl/web/gospodarkamorska/dem,{'SekretariatDEM@mgm.gov.pl'}
Ministerstwo Gospodarki Morskiej i Żeglugi Śródlądowej,"
",https://www.gov.pl/web/gospodarkamorska/biuro-kontroli-i-audytu-wewnetrznego-bk,{'SekretariatBK@mgm.gov.pl'}
Ministerstwo Funduszy i Polityki Regionalnej,Biuro Inicjatyw Społecznych,https://www.gov.pl/web/fundusze-regiony/biuro-inicjatyw-spolecznych,{'sekretariatBMS@mfipr.gov.pl'}
Ministerstwo Gospodarki Morskiej i Żeglugi Śródlądowej,Departament Nadzoru Właścicielskiego,https://www.gov.pl/web/gospodarkamorska/dnw,{'SekretariatDNW@mgm.gov.pl'}
Ministerstwo Funduszy i Polityki Regionalnej,Biuro Ministra,https://www.gov.pl/web/fundusze-regiony/biuro-ministra1,{'sekretariatBM@mfipr.gov.pl'}
 Ministerstwo Cyfryzacji ,Departament Architektury Informacyjnej Państwa,https://www.gov.pl/web/cyfryzacja/departament-architektury-informacyjnej-panstwa,{'Sekretariat.DAIP@mc.gov.pl'}
Ministerstwo Funduszy i Polityki Regionalnej,Biuro Dyrektora Generalnego,https://www.gov.pl/web/fundusze-regiony/biuro-dyrektora-generalnego1,{'sekretariatBDG@mfipr.gov.pl'}
Ministerstwo Funduszy i Polityki Regionalnej,Biuro Komunikacji,https://www.gov.pl/web/fundusze-regiony/biuro-komunikacji1,"{'sekretariatBKM@miir.gov.pl', 'sekretariatBKM@mfipr.gov.pl'}"
Ministerstwo Infrastruktury,Departament Prawny (DP),https://www.gov.pl/web/infrastruktura/departament-prawny-dp,{'sekretariatDP@mi.gov.pl'}
Ministerstwo Funduszy i Polityki Regionalnej,Biuro Administracyjne,https://www.gov.pl/web/fundusze-regiony/biuro-administracyjne1,{'sekretariatBA@mfipr.gov.pl'}
Ministerstwo Infrastruktury,Departament Poczty (DPO),https://www.gov.pl/web/infrastruktura/departament-poczty-dpo,{'sekretariatDPO@mi.gov.pl'}
Ministerstwo Infrastruktury,Departament Lotnictwa (DL),https://www.gov.pl/web/infrastruktura/departament-lotnictwa-dl,{'sekretariatDL@mi.gov.pl'}
Ministerstwo Infrastruktury,Departament Kontroli (DK),https://www.gov.pl/web/infrastruktura/departament-kontroli-dk,{'sekretariatDK@mi.gov.pl'}
Ministerstwo Funduszy i Polityki Regionalnej,Departament Programów Ponadregionalnych,https://www.gov.pl/web/fundusze-regiony/departament-programow-ponadregionalnych1,{'sekretariatDPP@mfipr.gov.pl'}
Ministerstwo Funduszy i Polityki Regionalnej,Departament Programów Wsparcia Innowacji i Rozwoju,https://www.gov.pl/web/fundusze-regiony/departament-programow-wsparcia-innowacji-i-rozwoju1,{'sekretariatDIR@mfipr.gov.pl'}
Ministerstwo Funduszy i Polityki Regionalnej,Departament Programów Pomocowych,https://www.gov.pl/web/fundusze-regiony/departament-programow-pomocowych1,{'sekretariatDPT@mfipr.gov.pl'}
Ministerstwo Funduszy i Polityki Regionalnej,Departament Prawny,https://www.gov.pl/web/fundusze-regiony/departament-prawny1,{'sekretariatDP@mfipr.gov.pl'}
Ministerstwo Funduszy i Polityki Regionalnej,Departament Koordynacji Wdrażania Funduszy Unii Europejskiej,https://www.gov.pl/web/fundusze-regiony/departament-koordynacji-wdrazania-funduszy-unii-europejskiej,{'sekretariatDKF@mfipr.gov.pl'}
Ministerstwo Funduszy i Polityki Regionalnej,Departament Partnerstwa Publiczno-Prywatnego,https://www.gov.pl/web/fundusze-regiony/departament-partnerstwa-publiczno-prywatnego1,{'sekretariatDPA@mfipr.gov.pl'}
Ministerstwo Gospodarki Morskiej i Żeglugi Śródlądowej,Biuro Obrony i Ochrony Informacji Niejawnych,https://www.gov.pl/web/gospodarkamorska/boiin,set()
Ministerstwo Gospodarki Morskiej i Żeglugi Śródlądowej,Biuro Prasowe,https://www.gov.pl/web/gospodarkamorska/bp,{'SekretariatBP@mgm.gov.pl'}
Ministerstwo Gospodarki Morskiej i Żeglugi Śródlądowej,Biuro Dyrektora Generalnego,https://www.gov.pl/web/gospodarkamorska/bdg,{'SekretariatBDG@mgm.gov.pl'}
Ministerstwo Gospodarki Morskiej i Żeglugi Śródlądowej,Biuro Ministra,https://www.gov.pl/web/gospodarkamorska/biuro-ministra-bm,{'SekretariatBM@mgm.gov.pl'}
Ministerstwo Funduszy i Polityki Regionalnej,Departament Informatyki,https://www.gov.pl/web/fundusze-regiony/departament-informatyki1,{'sekretariatDI@mfipr.gov.pl'}
Ministerstwo Funduszy i Polityki Regionalnej,Departament Kontroli,https://www.gov.pl/web/fundusze-regiony/departament-kontroli1,{'sekretariatDKN@mfipr.gov.pl'}
Ministerstwo Gospodarki Morskiej i Żeglugi Śródlądowej,Biuro Budżetowo – Finansowe ,https://www.gov.pl/web/gospodarkamorska/bbf,set()
Ministerstwo Funduszy i Polityki Regionalnej,Departament Promocji Funduszy Europejskich,https://www.gov.pl/web/fundusze-regiony/departament-promocji-funduszy-europejskich1,"{'sekretariatDIP@mfipr.gov.pl', 'sekretariatDIP@mfipr.gov.pll'}"
Ministerstwo Funduszy i Polityki Regionalnej,Departament Europejskiego Funduszu Społecznego,https://www.gov.pl/web/fundusze-regiony/departament-europejskiego-funduszu-spolecznego1,{'sekretariatDZF@mfipr.gov.pl'}
Ministerstwo Infrastruktury,Departament Kolejnictwa (DTK),https://www.gov.pl/web/infrastruktura/departament-kolejnictwa-dtk,{'sekretariatDTK@mi.gov.pl'}
Ministerstwo Infrastruktury,Departament Budżetu (DBI),https://www.gov.pl/web/infrastruktura/departament-budzetu-dbi,{'sekretariatDBI@mi.gov.pl'}
Ministerstwo Infrastruktury,Departament Dróg Publicznych (DDP),https://www.gov.pl/web/infrastruktura/departament-drog-publicznych-ddp,"{'sekretariatDDA@mib.gov.pl', 'sekretariatDDP@mi.gov.pl'}"
Ministerstwo Kultury i Dziedzictwa Narodowego,Departament Współpracy z Zagranicą,https://www.gov.pl/web/kultura/departament-wspolpracy-z-zagranica,{'dwz@mkidn.gov.pl'}
Ministerstwo Kultury i Dziedzictwa Narodowego,Biuro Audytu Wewnętrznego i Kontroli,https://www.gov.pl/web/kultura/biuro-audytu-wewnetrznego-i-kontroli,{'bak@mkidn.gov.pl'}
Ministerstwo Kultury i Dziedzictwa Narodowego,Biuro Dyrektora Generalnego,https://www.gov.pl/web/kultura/biuro-dyrektora-generalnego,{'bdg@mkidn.gov.pl'}
Ministerstwo Kultury i Dziedzictwa Narodowego,Biuro Kadr i Szkolenia,https://www.gov.pl/web/kultura/biuro-kadr-i-szkolenia,{'bks@mkidn.gov.pl'}
Ministerstwo Kultury i Dziedzictwa Narodowego,Centrum Informacyjne MKiDN,https://www.gov.pl/web/kultura/centrum-informacyjne-mkidn,{'ci@mkidn.gov.pl'}
Ministerstwo Kultury i Dziedzictwa Narodowego,Biuro Ministra,https://www.gov.pl/web/kultura/biuro-ministra,{'bm@mkidn.gov.pl'}
Ministerstwo Kultury i Dziedzictwa Narodowego,Departament Dziedzictwa Kulturowego za Granicą i Strat Wojennych,https://www.gov.pl/web/kultura/departamentu-dziedzictwa-kulturowego-za-granica-i-strat-wojennych,{'ddz@mkidn.gov.pl'}
Ministerstwo Kultury i Dziedzictwa Narodowego,Departament Nadzoru Właścicielskiego,https://www.gov.pl/web/kultura/departament-nadzoru-wlascicielskiego,{'dnw@mkidn.gov.pl'}
